run_index,timestamp,eval_question_number,question,source_no_in_run,case_file,year_logged,retrieval_score,chunk_index,total_chunks_logged,sampled_pdf_relative_path,pdf_exists_under_sampled,chunk_index_in_range,chunks_json_row_found,logged_text_matches_chunks_json_strict,logged_text_matches_chunks_json_normalized,year_logged_matches_chunks_json,total_chunks_matches_chunks_json,verification_notes
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,1,The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,2021,0.7467,37,52,data/sampled/2021/The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,2,The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,2021,0.7312,39,52,data/sampled/2021/The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,3,Sheikh_Javed_Iqbal_Ashfaq_Ansari_vs_The_State_Of_Uttar_Pradesh_on_18_July_2024_1.PDF,2024,0.7307,32,43,data/sampled/2024/Sheikh_Javed_Iqbal_Ashfaq_Ansari_vs_The_State_Of_Uttar_Pradesh_on_18_July_2024_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,4,Daljit_Singh_vs_The_State_Of_Haryana_on_2_January_2025_1.PDF,2025,0.7250,23,26,data/sampled/2025/Daljit_Singh_vs_The_State_Of_Haryana_on_2_January_2025_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,5,The_Union_Of_India_vs_Kanhaiya_Prasad_on_13_February_2025_1.PDF,2025,0.7233,18,30,data/sampled/2025/The_Union_Of_India_vs_Kanhaiya_Prasad_on_13_February_2025_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,6,Thwaha_Fasal_vs_Union_Of_India_on_28_October_2021_1.PDF,2021,0.7188,77,81,data/sampled/2021/Thwaha_Fasal_vs_Union_Of_India_on_28_October_2021_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,7,Directorate_Of_Enforcement_vs_M_Gopal_Reddy_on_24_February_2023_1.PDF,2023,0.7175,25,27,data/sampled/2023/Directorate_Of_Enforcement_vs_M_Gopal_Reddy_on_24_February_2023_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,8,The_Union_Of_India_vs_Kanhaiya_Prasad_on_13_February_2025_1.PDF,2025,0.7167,13,30,data/sampled/2025/The_Union_Of_India_vs_Kanhaiya_Prasad_on_13_February_2025_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,9,Thwaha_Fasal_vs_Union_Of_India_on_28_October_2021_1.PDF,2021,0.7138,75,81,data/sampled/2021/Thwaha_Fasal_vs_Union_Of_India_on_28_October_2021_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,10,Arvind_Kejriwal_vs_Directorate_Of_Enforcement_on_10_May_2024_1.PDF,2024,0.7122,6,17,data/sampled/2024/Arvind_Kejriwal_vs_Directorate_Of_Enforcement_on_10_May_2024_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,11,Sheikh_Javed_Iqbal_Ashfaq_Ansari_vs_The_State_Of_Uttar_Pradesh_on_18_July_2024_1.PDF,2024,0.7117,33,43,data/sampled/2024/Sheikh_Javed_Iqbal_Ashfaq_Ansari_vs_The_State_Of_Uttar_Pradesh_on_18_July_2024_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,12,Shivani_Tyagi_vs_State_Of_U_P_on_5_April_2024_1.PDF,2024,0.7081,33,45,data/sampled/2024/Shivani_Tyagi_vs_State_Of_U_P_on_5_April_2024_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,13,Md_Asfak_Alam_vs_The_State_Of_Jharkhand_on_31_July_2023_1.PDF,2023,0.7081,10,29,data/sampled/2023/Md_Asfak_Alam_vs_The_State_Of_Jharkhand_on_31_July_2023_1.PDF,yes,yes,yes,yes,yes,yes,yes,
1,2026-05-06 22:22:34,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,14,Directorate_Of_Enforcement_vs_M_Gopal_Reddy_on_24_February_2023_1.PDF,2023,0.7051,26,27,data/sampled/2023/Directorate_Of_Enforcement_vs_M_Gopal_Reddy_on_24_February_2023_1.PDF,yes,yes,yes,yes,yes,yes,yes,
2,2026-05-07 22:31:45,1,What conditions has the Supreme Court set for granting bail in cases involving economic offences?,1,The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,2021,0.7467,37,52,data/sampled/2021/The_State_Of_Kerala_vs_Mahesh_on_19_March_2021_1.PDF,yes,yes,yes,yes,yes,yes,yes,
